player_id,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,league,saison
63b27fab,381,Djylian N'Guessan,FRA,FW,Saint-Étienne,15.0,2008.0,8,3,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
a6b6fa6e,382,Mickael Nade,FRA,DF,Saint-Étienne,25.0,1999.0,26,25,2306,25.6,1,2,3,1,0,0,1,0,0.04,0.08,0.12,0.04,0.12,Matches,ligue1,2024-2025
226673c2,383,Bilal Nadir,MAR,MF,Marseille,20.0,2003.0,15,5,383,4.3,1,0,1,1,0,0,2,0,0.23,0.0,0.23,0.23,0.23,Matches,ligue1,2024-2025
8bfbf257,384,Mahamadou Nagida,CMR,MF,Rennes,19.0,2005.0,12,4,430,4.8,2,0,2,2,0,0,1,0,0.42,0.0,0.42,0.42,0.42,Matches,ligue1,2024-2025
d97af612,385,Keito Nakamura,JPN,"MF,FW",Reims,24.0,2000.0,32,31,2649,29.4,11,2,13,11,0,0,5,0,0.37,0.07,0.44,0.37,0.44,Matches,ligue1,2024-2025
ce747d2a,386,Sebastian Nanasi,SWE,"MF,FW",Strasbourg,22.0,2002.0,31,26,2107,23.4,6,4,10,6,0,0,1,0,0.26,0.17,0.43,0.26,0.43,Matches,ligue1,2024-2025
35f311ec,387,Yael Nandjou,FRA,DF,Nice,19.0,2005.0,3,2,154,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
65c55288,388,Youssouf Ndayishimiye,BDI,DF,Nice,25.0,1998.0,23,22,1932,21.5,3,0,3,3,0,0,5,0,0.14,0.0,0.14,0.14,0.14,Matches,ligue1,2024-2025
03412e45,389,Junior Ndiaye,UAE,FW,Montpellier,19.0,2005.0,15,4,441,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
36f65bdf,390,Rassoul Ndiaye,SEN,MF,Le Havre,22.0,2001.0,27,11,1061,11.8,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08,Matches,ligue1,2024-2025
